source,author,date_relative,comment_text,likes,reply_count
YouTube,danrogy,7 months ago,Now I know why I always thought they had a terrible algorithm for their curated stations! The music is a popularity contest. I've been a Pandora purchaser for a loooong time now.,,
YouTube,machine1568,5 months ago,"As I understand from reading the comments, I have an extremely unpopular opinion. For the last 5 years, I have been using Deezer, Spotify, SoundCloud, and for the last 3 months, I have been using YouTube Music. Switching from Spotify to YouTube has been the worst experience I've had in the last year of my life, from the terrible interface to the algorithms that add music to my playlists that I didn't know existed and would rather not know about. Playing clips in the music app. And most importantly, it turns out that YouTube and YouTube Music are completely different ecosystems. I watched several live concerts, and none of the bands I watched made it into the playlist, but an audiobook I watched a review of did. I'm not even talking about the audio quality...",1,
YouTube,thatonefuyu,7 months ago (edited),"As someone who has always downloaded my music- I just watch the wildfires from the commodity of my pillow fort. Also, streaming services are so annoying when the things you like are slowed + reverbs, nightcores, remixes, unreleased tracks, features, indie or obscure artists, etc.",,
YouTube,Narutojaden,4 weeks ago,I don't really understand how much were they getting in Radio times how much did they get every time the radio played their music now think of how many people were listening to radio and how many people are listening to one time streams going backwards,,
YouTube,IronClinch92,4 weeks ago,"This if the first I'm hearing of the shuffle issue. I have over 4000 songs on my liked playlist, and rarely have this issue and didn't think anything of it until reading this thread.. I'm one of those weirdos who listen to songs on repeat also, idk if that's a factor",,
YouTube,dkkpollock,7 months ago,"Around 10:33 mins I keep hearing this fake artist comment. If the music was made by a living breathing person, then how is it fake? I do not hear it claimed that it is AI? What I am hearing is a different biz model being put into place. Good or bad, that is up to the customer to decide.",1,
YouTube,2close2the2unn,3 weeks ago,"I just switched to an MP3 player, buying and owning my music and sorting it makes my stuff feel much more intentional, and supports artists much more directly. Plus, It ACTUALLY shuffles my music, unlike Spotify, and it was only a one-time spend of about $50 (plus whatever music I decide to buy.) No ads, and I can mod and make it my own. It feels so much better, and it's even helping me use my phone less! It's great. I highly reccomend switching to an MP3 player for those who can.",,
YouTube,FoxyTwist,4 months ago,if it weren't for how every other 3rd party app integrates spotify and not any other streaming service I would've switched long ago cause their shuffle feature just repeats the same 5 songs it annoys me,,
YouTube,brayvll,2 months ago,My AirPods keep playing random songs deep in my playlist instead of the next one up it's so annoying 🤦💔,,
YouTube,ImLVLegitcusImthasht,5 months ago,"YouTube music, you can add videos and even upload your own songs and add it to your playlist",,
YouTube,LionessDiva,7 months ago,"Spotify are crooks... I made a playlist on my first account they claimed I downloaded too much, they locked my account. So I created another account. I don't use Spotify to play music, I use it to look up an artists album to see the songs. I didn't log in for maybe a year, logged in to find a song them logged off. Again, they locked my account, extortion wanted me to promise not to download any more music, I argued with them they refused. 🖕Spotify.",1,
YouTube,AmberLovesBad,7 months ago,I still have Spotify. I have a lot of old playlists and I use it for audiobooks.,,
YouTube,HYP3M0D368,5 months ago,They have removed half of my music library from my playlist and it's baddd,,
YouTube,avaz5490,7 months ago (edited),Nope. The reason I left Spotify is because they kept delivering pop overs and other advertising nonsense that would interrupt my music even though I was subscribed to premium - and those interruptions would require me to take my eyes off the road and interact with my device to resume the music. Same misbehaving on different devices - just constant nagging about things despite paying for premium to avoid all those things. No thanks. I left Spotify because they would not stop the pop ups and ads for premium subscriptions. I had no problem with the algorithms or playlists.,1,
YouTube,emnahdj4841,6 months ago (edited),You can transfer all your music and playlists from Spotify to Apple Music in the settings of you iPhone,,
YouTube,HyperStimulation,7 months ago,Why do I get the same 20 ish songs whenever I shuffle? Ridiculous,,
YouTube,ethanwasme4307,7 months ago,"there are tools to transfer playlists from platform to platform, not always perfect but gets you 90% of the way there",,
YouTube,At_Ant,7 months ago (edited),"Cancelled my Spotify subscription yesterday. Music suggestions got worse - I kept hiding tracks from playlists but the same genre or tracks from the same album would get recommended. This moved me to listening to albums again. Oh yeah, the AI slop was awful.",,
YouTube,AnimeOf-Darkness,7 months ago (edited),Spotify is fine for me I love trance tracks on it I lov3d 90s and 2000s dance tracks most are not bland it's superb  in my playlists,,
YouTube,ContentsSarah,4 months ago,Everytime I play a playlist it will play random songs that wasn't in the playlist :(,,
YouTube,GreenFoodMan,7 months ago,What this taught me was to remove all official Spotify playlists from my library..,,
YouTube,mike-56xyz,7 months ago,Had to leave for yt music. Spotify (free) wouldn't even allow me to shuffle my local files.,,
YouTube,mirandaross4625,7 months ago,"Spotify has been giving me one premium feature at a time to try out for a month for free(without telling me). I just about lost it with ""Smart Shuffle"". Like, stop adding songs I don't know. I have had 100% accuracy with what I added vs what they added and it's distracting when a song I don't know and don't vibe with comes on.",,
YouTube,dustinstevens755,7 months ago,"I just started leaving Spotify last night. I'll give Apple Music a try for a while. Spotify has been borderline unusable for years, playing songs not on the playlist, randomly jumping to the middle of a different song while already having one playing, shuffle playing the exact same songs most of the time. I've been using premium for about 10 years and I've been able to see its usability go down the toilet",,
YouTube,Andi131Cee,6 months ago,"I had Spotify for about 13 years, I dumped it about a year ago for Apple Music and have never regretted it. I love Apple Music's automatic crossfade feature. The thing about Spotify is, they literally create hundreds of playlists for you, but they all have the same songs in them. Their shuffle only seems to shuffle the same few songs, in a playlist of 300+ songs it would play the same 20-30.",,
